,content,title,rating
6696,Lasse Glomm Comedy|Drama reference to jesus christ|church|sunday|norway Marie Theisen|Hildegun Riise|Bjørn Sundquist|Sylvia Salvesen|Martin Dahl Garfalk|Ina Sofie Brodahl|Ann Kristin Rasmussen|Jørgen Langhelle|Hallvard Holmen|Kai Kennet Hanson|Petter Width Kristiansen|Henriette Engesæth|Kristian Aaby,"Other Side of Sunday, The (Søndagsengler) (1996)",32
6024,Juhi Chaturvedi Comedy|Romance fertility clinic|sperm bank|sperm donor|delhi Ayushmann Khurrana|Yami Gautam|Annu Kapoor|Dolly Ahluwalia|John Abraham|Tarun Bali|Siddharth Bhardwaj|Krishna Singh Bisht|Jayanta Das|Aaditrie Dipika|Swaroopa Ghosh|Kamlesh Gill|Puja Gupta|Vijay Meenu|Bhupesh Pandya,Vicky Donor (2012),32
4213,Harvey Weinstein Documentary writer director|rise and fall|filmmaker|film industry Jeffrey Baxter|Chris Brinker|Jake Busey|Emmanuelle Béart|Gordon Clark|Billy Connolly|Jim Crabbe|Vincent D'Onofrio|Willem Dafoe|David Della Rocco|Marie Duffy|Robert Duffy|Tate Duffy|Taylor Duffy|Troy Duffy,Overnight (2003),32
3287,Eric Knight Adventure|Children human dog relationship|animal character name as title|lassie character|lassie Peter O'Toole|Samantha Morton|John Lynch|Peter Dinklage|Gerry O'Brien|Steve Pemberton|Eamonn Hunt|Edward Fox|Jim Roche|John Standing|Gregor Fisher|Jonathan Mason|Brian Pettifer|Paul Meade|Jamie Lee,Lassie (2005),32
2079,Coline Serreau Comedy|Crime|Drama pimp|hospital|coma|f rated Vincent Lindon|Catherine Frot|Rachida Brakni|Line Renaud|Aurélien Wiik|Ivan Franek|Michel Lagueyrie|Wojciech Pszoniak|Eric Poulain|Omar-Echériff Attalah|Hajar Nouma|Chloé Lambert|Marie Denarnaud|Jean-Marc Stehlé|Léa Drucker,Chaos (2001),32
11817,Vyacheslav Krishtofovich Comedy|Drama suicide by hitman|thong panties|black panties|panties Aleksandr Lazarev|Anzhelika Nevolina|Elena Korikova|Tetyana Kryvytska Stang Lund|Evgeniy Pashin|Sergey Romanyuk|Anatoliy Mateshko|Konstantin Kostyshin|Valentina Iliashenko|Rostislav Yankovskiy|Aleksey Goncharenko|Shubra Chakraborti|Elena Stefanska|Boris Zelenetski|Tamara Plashenko,"Friend of the Deceased, A (Priyatel pokonika) (1997)",32
11672,Tyler Perry Comedy|Romance three word title|written by director|african american protagonist|family relationships Gabrielle Union|Idris Elba|Louis Gossett Jr.|Tasha Smith|Tracee Ellis Ross|Malinda Williams|Terri J. Vaughn|Gary Anthony Sturgis|Cassi Davis|Sierra Aylina McClain|China Anne McClain|Lauryn Alisa McClain|Juanita Jennings|Maria Howell|Rochelle Dewberry,Tyler Perry's Daddy's Little Girls (2007),32
5109,Jennifer Egan Drama|Romance suicide|father|europe|paris france Cameron Diaz|Jordana Brewster|Christopher Eccleston|Blythe Danner|Camilla Belle|Patrick Bergin|Isabelle Pasco|Moritz Bleibtreu|Philipp Weissert|Nikola Obermann|Robert Getter|Ricky Koole,"Invisible Circus, The (2001)",32
764,Ann Hu Drama|Romance year 1902|tradition|shadow|magic Jared Harris|Yu Xia|Yufei Xing|Peiqi Liu|Liping Lü|Jingming Wang|Yusheng Li|Yukui Zhang|Chuang Cheng|Zhongwei Zheng|Qi Mu|Qingzhuo Fang|Bin Li,Shadow Magic (2000),32
5912,Joseph Vilsmaier Drama gay love|sex|mountain|village André Eisermann|Dana Vávrová|Ben Becker|Jochen Nickel|Jürgen Schornagel|Paulus Manker|Michaela Rosen|Peter Franke|Detlef Bothe|Michael Mendl|Eva Mattes|Angelika Bartsch|Lena Stolze|Heinz Emigholz|Regina Fritsch,Brother of Sleep (Schlafes Bruder) (1995),32
7619,Matthew Weiss Drama watching tv|doll|pharmacist|pharmacy Robin Tunney|Henry Thomas|Michael Parks|Stephen Lang|John MacKay|Alan Pottinger|Sol Frieder|Candy Clark|Andrew L. Phillips|Jeffrey Howard|Shawn Hatosy|Adam Lauricella|Jaime Lynn O'Hara|John Ventimiglia|Clea DuVall,"Niagara, Niagara (1997)",32
10333,Sean Ellis Drama|Horror|Thriller car crash|broken mirror|doppelganger|murder of a nude woman Lena Headey|Ulrich Thomsen|Melvil Poupaud|Michelle Duncan|Asier Newman|Richard Jenkins|Daren Elliott Holmes|Howard Ward|Damian O'Hare|Dennis Banks|In-Sook Chappell|Peta Longstaff|Ziad Alyan|Lucy Bingham|Marie Flood,"Brøken, The (a.k.a. Broken, The) (2008)",32
1657,Chad St. John Action|Crime|Drama frank castle character|the punisher character|wheelchair|gang Thomas Jane|Ron Perlman|Sammi Rotibi|Karlin Walker|Jack Goldenberg|Shannon Collis|Brandee Steger|Stephanie Matson,The Punisher: Dirty Laundry (2012),31
6627,Lamar Damon Comedy cool|2000s|french woman abroad|french abroad Piper Perabo|Jane McGregor|Trent Ford|Julie White|Brandon Smith|Jesse James|Nicki Aycox|Alexandra Adi|Matt Czuchry|Cristen Coppen|Michael McKean|Mary Portser|Katherine Cortez|Jerry Cotton|Kirk Sisco,Slap Her... She's French (a.k.a. She Gets What She Wants) (2002),31
2494,David Dean Bottrell Comedy funeral|woman|preacher|affection LL Cool J|Jada Pinkett Smith|Vivica A. Fox|Loretta Devine|Anthony Anderson|Toni Braxton|Cedric the Entertainer|Darius McCrary|Whoopi Goldberg|Richard Gant|Masasa Moyo|Dominic Hoffman|Patrice Moncell|Clifton Davis|Kellita Smith,Kingdom Come (2001),31
5284,Jim Strouse Comedy unfaithfulness|father daughter relationship|twin|girl Jemaine Clement|Aundrea Gadsby|Gia Gadsby|Nancy Eng|Samantha Posey|Stephanie Allynne|Michael Chernus|Celia Au|Paul Castro Jr.|Jason DarkChocolate Dyer|Jessica Williams|Regina Hall|Matthew Maher|Dionne Audain|Derrick Arthur,"People, Places, Things (2015)",31
3307,Eric Schaeffer Comedy|Drama|Romance transgender|trans|lgbt plus|reference to google Michael Welch|Michelle Hendley|Alexandra Turshen|Michael Galante|Joseph Ricci|Randall Newsome|Elizabeth Ward Land|Christopher McHale|Rachel Racco|Robert Racco|Ethan Major|Scott Martineck|Benj Mirman|Jacob Perkins|Ethan Rosero,Boy Meets Girl (2015),31
3960,Graziella Magherini Crime|Horror|Thriller victim|museum|rape|policewoman Asia Argento|Thomas Kretschmann|Marco Leonardi|Luigi Diberti|Paolo Bonacelli|Julien Lambroschini|John Quentin|Franco Diogene|Lucia Stara|Sonia Topazio|Lorenzo Crespi|Vera Gemma|John Pedeferri|Veronica Lazar|Mario Diano,"Stendhal Syndrome, The (Sindrome di Stendhal, La) (1996)",31
1961,Chuan Lu Drama|War chinese history|japanese occupation of china|atrocity|battle Ye Liu|Yuanyuan Gao|Wei Fan|Lan Qin|Hideo Nakaizumi|Ryu Kohata|Yiyan Jiang|Di Yao|Yisui Zhao|Bin Liu|Yûko Miyamoto|John Paisley|Beverly Peckous|Sam Voutas|Aisling Dunne,City of Life and Death (Nanjing! Nanjing!) (2009),31
8793,Patton Oswalt Comedy spoof|gross out comedy|crude humor|stand up special Patton Oswalt,Patton Oswalt: My Weakness Is Strong (2009),31
9310,Rafa Russo Comedy|Drama|Romance actor|spanish|love|destiny Lena Headey|Douglas Henshall|Penélope Cruz|Gustavo Salmerón|Mark Strong|Eusebio Lázaro|Charlotte Coleman|Neil Stuke|Elizabeth McGovern|Antonio Gil|Heather Weeks|Inday Ba|Paul Popplewell|David Spinx|David Fishley,"Twice Upon a Yesterday (a.k.a. Man with Rain in His Shoes, The) (1998)",31
5671,John Scheinfeld Documentary self destructiveness|reference to franz schubert|cousin cousin relationship|embezzlement Gerry Beckley|Lee Blackman|Perry Botkin Jr.|Ray Cooper|Micky Dolenz|Stanley Dorfman|Terry Gilliam|Bruce Grakal|Doug Hoefer|Dustin Hoffman|Mark Hudson|Danny Hutton|Eric Idle|Rick Jarrard|Al Kooper,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) (2010),31
1580,Carlos Reygadas Drama mexico|mennonite|farmer|extramarital affair Cornelio Wall|Miriam Toews|Maria Pankratz|Peter Wall|Jacobo Klassen|Elizabeth Fehr|Jacques Brel,Silent Light (Stellet licht) (2007),31
8467,Niklas Rådström Drama camera|working class|alcoholic|1900s Maria Heiskanen|Mikael Persbrandt|Jesper Christensen|Callin Öhrvall|Nellie Almgren|Birte Heribertson|Ghita Nørby|Amanda Ooms|Emil Jensen|Claire Wikholm|Ann Petrén|Antti Reini|Annika Lundgren|Maria Lundqvist|Hans Henrik Clemensen,Everlasting Moments (Maria Larssons eviga ögonblick) (2008),31
9367,Randall Wallace Drama spider man action figure|near death experience|christian film|visions of heaven Greg Kinnear|Kelly Reilly|Thomas Haden Church|Connor Corum|Lane Styles|Margo Martindale|Jacob Vargas|Thanya Romero|Danso Gordon|Rob Moran|Nancy Sorel|Darcy Fehr|Vivian Winther|Pete Hudson|Ursula Clark,Heaven Is for Real (2014),31
1744,Chi Muoi Lo Comedy|Drama birth mother|vietnam|african american|asian man black woman relationship Chi Muoi Lo|Sanaa Lathan|Paul Winfield|Mary Alice|Lauren Tom|Kieu Chinh|Tyler Christopher|Tzi Ma|George Wallace|Wing Chen|Amy Tran|Kevin Lo|Kevin D'Arcy|Andre Rosey Brown|Ron Galbraith,Catfish in Black Bean Sauce (2000),31
11799,Visuttchai Boonyakarnjawa Comedy bangkok thailand|sports recruiting|thai soldier|gay stereotype Jesdaporn Pholdee|Sahaphap Tor|Ekachai Buranapanit|Giorgio Maiocchi|Chaichan Nimpulsawasdi|Kokkorn Benjathikoon|Shiriohana Hongsopon|Phomsit Sitthijamroenkhun|Sutthipong Sitthijamroenkhun|Anucha Chatkaew,"Iron Ladies, The (Satree lek) (2000)",31
2213,Damien Chazelle Mystery|Thriller breaking a leg|2010s|concert pianist|piano player Elijah Wood|John Cusack|Kerry Bishé|Tamsin Egerton|Allen Leech|Don McManus|Alex Winter|Dee Wallace|Jim Arnold|Jack Taylor|Beth Rollan|Amy Gwilliam|Harris Gordon|Ricardo Alexander|Brendan Murphy,Grand Piano (2013),31
2136,Craig Mitchell Action|Crime|Thriller girl in bra and panties|serial murderer|sadistic killer|psychopathic killer Jim Caviezel|Rhona Mitra|Frankie Faison|Colm Feore|Gordon Currie|Andrea Roth|Noam Jenkins|Toby Proctor|James Kee|Guylaine St-Onge|Joe Pingue|Martin Roach|Ron Bell|Paul Rutledge|Kelly Jones,Highwaymen (2003),31
7988,Michel Negroponte Documentary central park|american society for the prevention of cruelty to animals|park|actor Maggie Cogan|Katina Pendleton,Jupiter's Wife (1994),31
9091,Peter Morgan Drama cheating wife|briefcase of money|breasts|hairy chest Lucia Siposová|Gabriela Marcinková|Johannes Krisch|Danica Jurcová|Jude Law|Peter Morgan|Moritz Bleibtreu|Riann Steele|François-Xavier Demaison|Jamel Debbouze|Dinara Drukarova|Vladimir Vdovichenkov|Patty Hannock|Djemel Barek|Rachel Weisz,360 (2011),31
9575,Richard Williams Adventure|Animation|Comedy|Fantasy unfinished film|surrealism|surreal|king Vincent Price|Bobbi Page|Steve Lively|Ed E. Carroll|Clive Revill|Mona Marshall|Joan Sims|Kevin Dorsey|Donald Pleasence|Stanley Baxter|Kenneth Williams|Clinton Sundberg|Windsor Davies|Frederick Shaw|Thick Wilson,"Thief and the Cobbler, The (a.k.a. Arabian Knight) (1995)",31
8845,Paul Haggis Drama|Romance love|female nudity|female frontal nudity|incest Liam Neeson|Maria Bello|Mila Kunis|Kim Basinger|Michele Melega|Adrien Brody|Gianni Franco|Marius Bizau|Olivia Wilde|Katy Louise Saunders|James Franco|Loan Chabanol|Oliver Crouch|Valentina Gaia|Riccardo Scamarcio,Third Person (2013),31
1737,Cheol-su Park Horror|Mystery|Thriller woman wears eyeglasses|writer|neighbor|apartment Eun-jin Pang|Sin-hye Hwang|Chu-Ryun Kim,"301, 302 (301/302) (1995)",31
1450,Brian Trenchard-Smith Action|Adventure|Fantasy|Sci-Fi|Thriller christian|younger version of character|apocalypse|fictional war Michael York|Michael Biehn|Joseph Makkar|Guy Siner|Diane Venora|Michael Chinyamurindi|John DeMita|R. Lee Ermey|Udo Kier|Oleg Stefan|Franco Nero|Jim Metzler|Noah Huntley|Michael Paul Chan|Gil Colon,Megiddo: The Omega Code 2 (2001),31
4838,Jane Hawksley Drama|War year 1937|japanese occupation|japanese occupation of china|year 1938 Jonathan Rhys Meyers|Radha Mitchell|Yun-Fat Chow|Michelle Yeoh|Guang Li|Ji Lin|Matthew Walker|Anastasia Kolpakova|Ping Su|Imai Hideaki|Seiichiro Hashimoto|Shinichi Takashima|Xing Mang|Ruixiang Zhu|Yuelong Fang,"Children of Huang Shi, The (2008)",31
10240,Saul Metzstein Comedy underwear|infidelity|vomiting|white panties Luke de Woolfson|James Lance|Kate Ashfield|Enzo Cilenti|Heike Makatsch|Shauna Macdonald|Sienna Guillory|Laurie Ventry|Bobby Finn|Claire Harman|Nigel Buckland|Lesley Harcourt|Garry Sweeney|Carmen Pierquaccini|John Wark,Late Night Shopping (2001),31
3574,Franny Armstrong Documentary year 2008|runaway climate change|manmade environmental disaster|f rated Pete Postlethwaite|Jehangir Wadia|Alvin DuVernay|Layefa Malini|Jamila Bayyoud|Piers Guy|Lisa Guy|Fernand Pareau|Babou Ceesay|Toyah Frantzen|Mark Lynas,"Age of Stupid, The (2009)",31
5146,Jeremy Chilnick Documentary terrorist|middle east|question in title|terrorism Morgan Spurlock|George Bush|Dick Cheney|Daryl Isaacs|Alexandra Jamieson|Donald Rumsfeld|Laken James Spurlock,Where in the World Is Osama Bin Laden? (2008),31
6156,Kam-Yuen Szeto Action|Crime|Thriller friendship|gangster|triads|spaghetti western Anthony Chau-Sang Wong|Francis Ng|Simon Yam|Nick Cheung|Richie Jen|Roy Cheung|Josie Ho|Suet Lam|Ka Tung Lam|Eddie Cheung|Ellen Chan|Bing-Man Tam|Shiu Hung Hui|Ronald Yan|Wah-Wo Wong,Exiled (Fong juk) (2006),31
4103,Gérard Lauzier Comedy|Romance misunderstanding|jailbait|watching tv|african caribbean Gérard Depardieu|Katherine Heigl|Dalton James|Lauren Hutton|Faith Prince|Stephen Tobolowsky|Ann Hearn|Robyn Peterson|Frank Renzulli|Manny Jacobs|Jeffrey Chea|Stephen Burrows|Mike Robinson|Robert Miner|Betty Miner,My Father the Hero (1994),31
4186,Harmony Korine Drama tennessee|nashville tennessee|handheld camera|vandalism Rachel Korine|Brian Kotzur|Travis Nicholson|Harmony Korine|Seth Peterson|Kevin Guthrie|Charles Ezell|Crystal|Jennifer|Roxxie|Page Spain|Chris Gantry|Chris Crofton|Paul Booker|Dave Cloud,Trash Humpers (2009),31
4322,Hiroshi Mori Adventure|Animation|Drama clone|flying|boyfriend girlfriend relationship|aerial dogfight Rinko Kikuchi|Ryô Kase|Shôsuke Tanihara|Megumi Yamaguchi|Daisuke Hirakawa|Takuma Takewaka|Mugihito|Hôchû Ôtsuka|Mabuki Andô|Mako Hyôdô|Hiro Shimono|Yoshinori Fujita|Ayumu Hasegawa|Oki Sugiyama|Fumie Mizusawa,"Sky Crawlers, The (Sukai kurora) (2008)",31
4991,Jean-Marc Vallée Drama breasts|oral sex|sex in shower|cunnilingus Vanessa Paradis|Kevin Parent|Hélène Florent|Evelyne Brochu|Marin Gerrier|Alice Dubois|Evelyne de la Chenelière|Michel Dumont|Linda E. Smith|Joanny Corbeil-Picher|Rosalie Fortier|Michel Laperrière|Caroline Bal|Nicolas Marié|Pascal Elso,Café de Flore (2011),31
596,Andrei Romanov Drama children|russian|orphanage|escape Nikolay Spiridonov|Mariya Kuznetsova|Nikolay Reutov|Yuriy Itskov|Denis Moiseenko|Andrey Elizarov|Aleksandr Sirotkin|Vladimir Shipov|Polina Vorobeva|Olga Shuvalova|Dmitriy Zemlyanko|Darya Yurgens|Rudolf Kuld|Tatyana Zakharova|Irina Osnovina,"Italian, The (Italianetz) (2005)",31
2197,Daisuke Nishio Action|Adventure|Animation|Fantasy|Sci-Fi wish fulfillment|making a wish|wish|make a wish Masako Nozawa|Toshio Furukawa|Hiromi Tsuru|Mayumi Tanaka|Daisuke Gôri|Mayumi Shô|Kôhei Miyauchi|Takeshi Aono|Kenji Utsumi|Akira Kamiya|Kôji Totani|Yukitoshi Hori|Shigeru Chiba|Jôji Yanami|Lisa Ann Beley,Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989),31
3589,François Ozon Drama erection|gay relationship|one female two males threesome|wife pregnant by another man Melvil Poupaud|Jeanne Moreau|Valeria Bruni Tedeschi|Daniel Duval|Marie Rivière|Christian Sengewald|Louise-Anne Hippeau|Henri de Lorme|Walter Pagano|Violetta Sanchez|Ugo Soussan Trabelsi|Alba Gaïa Bellugi|Victor Poulouin|Laurence Ragon|Thomas Gizolme,Time to Leave (2005),31
5097,Jefri Aalmuhammed Documentary independent film Peter Bailey|Roscoe Lee Browne|John Henrik Clarke|Louis Farrakhan|James Fox|Robert Haggins|Robert L. Haggins|Khalil Islam|Benjamin Karim|Charles Kenyatta|Bab Zak Kondo|William Kunstler|Malcolm X|Elijah Muhammad|Wallace D. Muhammad,Brother Minister: The Assassination of Malcolm X (1994),31
4600,Jacob Tierney Comedy boy wears eyeglasses|teen movie|school|student Liane Balaban|Jay Baruchel|Taylor Baruchel|Dan Beirne|Domini Blythe|Jonathan Bosco|Hélène Bourgeois Leclerc|Justin Bradley|Geneviève Bujold|Anne-Marie Cadieux|Jesse Camacho|Cecile Cristobal|Darren Curtis|Paul Doucet|Guy Dufaux,"Trotsky, The (2009)",31
7742,Michael Boston Drama vietnam war veteran|male rear nudity|bare breasts|stepmother stepson incest Ryan Phillippe|Nastassja Kinski|John Savage|Shirley Knight|Tyrin Turner|Jenny Lewis|Brent Jennings|John Doman|Devon Michael|Adam Burke|Kaitlin Hopkins|Dennis Letts|Jerry Cotton|Michael Boston|Gail Cronauer,Little Boy Blue (1997),31
10585,Simon Maginn Horror|Mystery|Thriller drowning|psychotronic film|trepanning|possessed by evil Maria Bello|Sean Bean|Maurice Roëves|Sophie Stuckey|Abigail Stone|Richard Elfyn|Casper Harvey|Eluned Jones|Gwenyth Petty|Robin Griffith|Mike Keggen|Tonya Smith,"Dark, The (2005)",31
6590,Kwang-young Choi Crime|Drama|Horror exploitation|south korea|murder|revenge Yeong-hie Seo|Seong-won Ji|Min-ho Hwang|Min Je|Ji-eun Lee|Jeong-hak Park|Jang-hun Ahn|Su-yeon Ahn|Sung-Woo Bae|Su-ryun Baek|Shi-hyeon Chae|Yeong-min Chun|Dong-hak Han|Hae-ji Hang|Jae-seong Hong,Bedevilled (Kim Bok-nam salinsageonui jeonmal) (2010),31
1928,Christopher MacBride Horror|Thriller conspiracy|secret society|found footage|manhunt Aaron Poole|James Gilbert|Ian Anderson|Peter Apostolopoulos|Roger Beck|Angela Besharah|Bruce Clayton|Laura de Carteret|Gavin Fox|Alex Furber|Ron Kennell|Alina Lee|Ian Matthews|Adam Murciano|Douglas Nyback,"Conspiracy, The (2012)",31
10684,Stas Mokhnachev Action|Comedy|Crime heroin|gunfight|russian roulette|black comedy Aleksey Panin|Dmitriy Dyuzhev|Nikita Mikhalkov|Sergey Makovetskiy|Anatoliy Zhuravlyov|Grigoriy Siyatvinda|Viktor Sukhorukov|Aleksey Serebryakov|Garik Sukachyov|Andrey Panin|Kirill Pirogov|Yuriy Stepanov|Renata Litvinova|Zhanna Bolotova|Tatyana Dogileva,Dead Man's Bluff (2005),31
6046,Julian Gilbey Adventure|Crime|Thriller mountaineering|sniper|scotland|mountaineer Alec Newman|Ed Speleers|Melissa George|Kate Magowan|Garry Sweeney|Holly Boyd|Douglas Russell|Alan Steele|Sean Harris|Stephen McCole|Karel Roden|Eamonn Walker|Paul Anderson|Eric Barlow|Jamie Edgell,"Lonely Place to Die, A (2011)",31
6968,Lowell Ganz Comedy millionaire|will|old man|wheelchair Michael J. Fox|Kirk Douglas|Nancy Travis|Olivia d'Abo|Phil Hartman|Ed Begley Jr.|Jere Burns|Colleen Camp|Bob Balaban|Joyce Hyser|Mary Ellen Trainor|Siobhan Fallon Hogan|Kevin McCarthy|Khandi Alexander|Jonathan Lynn,Greedy (1994),31
1358,Brendan Hood Horror|Thriller dying repeatedly|transformation|subway station|hockey game Mike Vogel|Jaime Murray|Christina Cole|Michael Feast|Charlie Anson|Michael Dixon|George Dillon|Marnix Van Den Broeke|Andrew Buchan|Bill Nash|Anthony Warren|Jason Steadman|Jason Durran|Jeff Peterson|Tom Bodell,"Deaths of Ian Stone, The (2007)",31
919,Arturo Pérez-Reverte Action|Adventure|Romance|War character name as title|surname as title|man wears eyeglasses|period drama Viggo Mortensen|Elena Anaya|Unax Ugalde|Eduard Fernández|Eduardo Noriega|Ariadna Gil|Juan Echanove|Javier Cámara|Antonio Dechent|Blanca Portillo|Francesc Garrido|Pilar López de Ayala|Jesús Castejón|Cristina Marcos|Luis Zahera,Alatriste (2006),31
2768,Declan O'Brien Action|Horror|Thriller lesbian sex|three finger character|west virginia|sex in bed Jennifer Pudavick|Tenika Davis|Kaitlyn Leeb|Terra Vnesa|Ali Tataryn|Samantha Kendrick|Victor Zinck Jr.|Dean Armstrong|Sean Skene|Blane Cypurda|Dan Skene|Tristan Carlucci|Scott Johnson|Bryan Verot|Arne MacPherson,Wrong Turn 4 (2011),31
8603,Olly Blackburn Horror|Thriller male pubic hair|male rear nudity|male frontal nudity|male nudity Robert Boulter|Sian Breckin|Tom Burke|Nichola Burley|Julian Morris|Jay Taylor|Jaime Winstone,Donkey Punch (2008),31
3730,Gauri Shinde Comedy|Drama gay|passing an exam|exam|title directed by female Sridevi|Adil Hussain|Mehdi Nebbou|Priya Anand|Sulabha Deshpande|Michael Patrick Hoban|Sujatha Kumar|Navika Kotia|Shivansh Kotia|Cory Hibbs|Rajeev Ravindranathan|Maria Romano|Sumeet Vyas|Ruth Aguilar|Ross Nathan,English Vinglish (2012),31
1108,Benoît Jacquot Drama|Romance psycho analysis|male female relationship|female character|female nudity Sandrine Kiberlain|Vincent Lindon|François Berléand|Francine Bergé|Pierre Cassignard|Philippe Magnan|Florence Loiret Caille|Léo Le Bevillon|Sylvie Loeillet|Anne Fassio|Pascale Mariani|Geoffrey Bateman|Louis Lindon|Jean-Claude Barban|Eriq Ebouaney,"Seventh Heaven (Septième ciel, Le) (1997)",31
2661,David Riker Documentary|War cell phone video|cell phone|hospital|afghanistan Nasser Al Aulaqi|Saleha Al Aulaqi|Muqbal Al Kazemi|Abdul Rahman Barman|Saleh Bin Fareed|Andrew Exum|Abdul Ghafoor|Philip Giraldi|Matthew Hoh|Patrick Lang|John McCain|William McRaven|Emile Nakhleh|Malcolm Nance|Barack Obama,Dirty Wars (2013),31
9713,Robert Geoffrion Action|Crime|Thriller sawed off shotgun|betrayal by a friend|black comedy|vancouver british columbia Chuck Norris|Michael Parks|Al Waxman|Alberta Watson|Salim Grant|Ken Pogue|Marcel Sabourin|Bruno Gerussi|Frank Ferrucci|James Purcell|Candus Churchill|A.C. Peterson|Paris Mileos|Alex Bruhanski|Stephen Dimopoulos,"Hitman, The (1991)",31
7154,Marc Caro Sci-Fi|Thriller prison|trapped in space|terraforming|reference to saint george and the dragon Lambert Wilson|Linh Dan Pham|Simona Maicanescu|Dominique Pinon|Bruno Lochet|François Levantal|Gérald Laroche|François Hadji-Lazaro|Lotfi Yahya Jedidi|Yann Collette|Dominique Bettenfeld|Antonin Maurel,Dante 01 (2008),31
11690,Ulrike Koch Documentary salt|nomad|tibet|f rated Margen|Pargen|Zopon|Bopsa,"Saltmen of Tibet, The (Salzmänner von Tibet, Die) (1997)",31
11465,Tom Jones Musical countryside|farm|carnival wagon|wall Joel Grey|Barnard Hughes|Jean Louisa Kelly|Joey McIntyre|Jonathon Morris|Brad Sullivan|Teller|Arturo Gil|Tony Cox|Victoria Stevens|Trayne Thomas|Shaunery Stevens|Dyrk Ashton|Gregory Amato|Lee Bell,"Fantasticks, The (1995)",31
7550,Matt Hylton Todd Action|Horror purgatory|tattoo on back|sex scene|character name as title Andy Whitfield|Dwaine Stevenson|Samantha Noble|Michael Piccirilli|Jack Campbell|Erika Heynatz|Harry Pavlidis|Kevin Copeland|Matt Hylton Todd|Brendan Clearkin|Goran D. Kleut|Valentino del Toro|Amy Mathews|Paul Winchester|Richard Huggett,Gabriel (2007),31
1482,Bruce La Bruce Romance amputee|hustler|male prostitution|full frontal male nudity Tony Ward|Bruce La Bruce|Kevin P. Scott|Ivar Johnson|Kevin Kramer|Alex Austin|Ron Athey|Glen Meadmore|Graham David Smith|Miles H. Wildecock II|Bud Cockerham|Michael Glass|Vaginal Davis|Ryan Block|Darryl Carlton,Hustler White (1996),31
263,Alan Yuen Action|Drama shaolin|warlord|shaolin master|monk Shaoqun Yu|Chen Zhiui|Xing Yu|Jing Wu|Nicholas Tse|Hai Yu|Andy Lau|Bingbing Fan|Shimadu Runa|Xiaohong Shi|Karl Eiselen|Alexander Mukhanov|Shi Tianshuo|Qilong Li|Jin Youming,Shaolin (Xin shao lin si) (2011),31
5984,João Emanuel Carneiro Adventure|Comedy|Fantasy catholic|faith|priest|catholicism Antônio Fagundes|Wagner Moura|Paloma Duarte|Bruce Gomlevsky|Stepan Nercessian|Castrinho|Hugo Carvana|Chico Assis|Thiago Farias|Susana Werner|Toni Garrido|Ivana Iza|Vitor Diegues Meuren,God Is Brazilian (Deus É Brasileiro) (2003),30
8329,Neil Young Documentary super 8|interview|1980s|neil young Ralph Molina|Frank 'Pancho' Sampedro|Billy Talbot|Neil Young|Larry Cragg|Jim Jarmusch|Elliot Roberts|Keith Wissmar|Scott Young,Year of the Horse (1997),30
9920,Roman Karimov Comedy|Romance smoke|cleavage|costumes|old young relationship Ilya Lyubimov|Ingrid Olerinskaya|Evgeniy Tsyganov|Yuliya Takshina|Artyom Dushkin|Polina Iosilevich|Marina Zaytseva|Anastasiya Fedorkova|Nazar As-Samarray|Anna Glaube|Roman Karimov|Olga Rudenko|Anton Toroptsev|Natalya Shchesnyak|Aleksandra Shchesnyak,Inadequate People (Neadekvatnye lyudi) (2010),30
7328,Mark Hartley Comedy|Documentary cannon group|cannon films|golan globus|film company Sam Firstenberg|David Paulsen|Luigi Cozzi|Menahem Golan|Alain Jakubowicz|Itzik Kol|Michael Hartman|Quentin Falk|Boaz Davidson|William Stout|David Womark|Sybil Danning|Roni Ya'ackov|Yftach Katzur|Dan Wolman,"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2014)",30
9265,Pyotr Buslov Action|Drama|Thriller group of friends|disorder|russian culture|bmw car Vladimir Vdovichenkov|Andrey Merzlikin|Maksim Konovalov|Sergey Gorobchenko|Yana Shivkova|Lyudmila Polyakova|Anastasiya Sapozhnikova|Vasiliy Sedykh|Evgeniy Kraynov|Aleksey Zaytsev|Vitaliy Alshanskiy|Oleg Semisynov|Mikhail Lukashov|Filipp Ryba|Aleksey Oshurkov,Bummer (Bumer) (2003),30
3317,Eric Styles Drama|Romance male female relationship|unrequited love|sister sister relationship|lust Rupert Graves|Samantha Morton|Nicholas Woodeson|Lee Ross|Felix Billson|Lauren Richardson|Frank Finlay|Vernon Dobtcheff|Miriam Margolyes|Holly Aird|Frederick Stuart|Richie Tongé|Harry Selby|Juan Thomas|Emma Cunniffe,Dreaming of Joseph Lees (1999),30
3494,Florent-Emilio Siri Action|Crime|Thriller watching tv|infrared|warehouse|trial Samy Naceri|Benoît Magimel|Nadia Farès|Pascal Greggory|Sami Bouajila|Anisia Uzeyman|Richard Sammel|Valerio Mastandrea|Martial Odone|Martin Amic|Alexandre Hamidi|Angelo Infanti|Grigori Manoukov|Paul Hervet|Frédéric Kontogom,"Nest, The (Nid de Guêpes) (2002)",30
